id,franchise_id,instagram_url,facebook_url,twitter_url,linkedin_url,created_at,updated_at
0407cf14-00dc-49ac-97e7-87f55d94e99c,b38c39c0-b9f6-495f-b8be-a65b1c0b9221,https://instagram.com/chaipoint,https://facebook.com/chaipoint,,https://linkedin.com/company/chaipoint,2026-01-10 12:02:56,2026-01-10 12:02:56
e96df10b-736d-4ddf-94c3-9e9b03a67251,c8f6989c-d785-4cf7-b127-b7ba288a3314,https://instagram.com/charepublic,https://facebook.com/charepublic,,,2026-01-10 12:02:56,2026-01-10 12:02:56
89fa9191-5634-47b9-b6c5-c657c03ccf69,b297c5b9-82e3-4c3d-88fc-c509ae881207,https://instagram.com/chaitopup,https://facebook.com/chaitopup,,https://linkedin.com/company/chaitopup,2026-01-10 12:02:56,2026-01-10 12:02:56
90785c76-9ff3-4157-9dcc-09e2d9db5549,6a8c08c9-ef66-48b0-a68e-e9e0b7b40fcc,https://instagram.com/cafedurga,https://facebook.com/cafedurga,,,2026-01-10 12:02:56,2026-01-10 12:02:56
fb8aacb4-590c-433e-8ab5-fcb2df1e4f32,afb4be0a-0173-4248-b0b9-9c7ba0e3ce8f,https://instagram.com/espressobarco,,,,2026-01-10 12:02:56,2026-01-10 12:02:56
11d88599-85ba-4eec-a4a0-43048d1f4f37,09378ed3-2aa4-4e45-bf5d-6a75d1bdb2f7,https://instagram.com/indiansilkhouseagencies,,,https://www.linkedin.com/company/indian-silk-house-agencies,2026-01-10 12:02:56,2026-01-10 12:02:56
b8b7e215-4c6b-415d-8239-81999aa07a88,b781fa76-8eaf-4cf9-a15c-b6a1c3503554,https://instagram.com/flyrobe,https://facebook.com/flyrobe,https://twitter.com/flyrobe,https://linkedin.com/company/flyrobe,2026-01-10 12:02:56,2026-01-10 12:02:56
a6a2db71-51d0-4656-8463-576c0645124e,0e50ed02-6937-4c8d-aa31-b4202a5f77cd,https://www.instagram.com/cottonculture.co.in,https://www.facebook.com/cottonculture.co.in,https://twitter.com/CottonCulture4,https://www.linkedin.com/company/cotton-culture-co-in,2026-01-10 12:02:56,2026-01-10 12:02:56
b8ceb207-c4a7-4e13-9ab9-18f4c240a53e,7e62e026-71a1-4b49-971d-e8bcd1cc4e54,,,,https://www.linkedin.com/company/giordano,2026-01-10 12:02:56,2026-01-10 12:02:56
5c87aa18-ff59-4ab9-9744-09caad72bb7c,8a873fc8-8a68-461e-81f4-55d7f192f2b1,,,,https://www.linkedin.com/company/liker-fashion,2026-01-10 12:02:56,2026-01-10 12:02:56
d605635a-9859-4a7b-a954-082d1c033ec6,fc244900-e4b1-4eec-8e70-eb778beac3a5,,,,,2026-01-10 12:02:56,2026-01-10 12:02:56
b8e80bb2-e93d-4c9a-8e72-f9c51293055e,a6ae3e8e-b3da-4406-9a53-1f411523033b,https://instagram.com/peachmodeinsta,https://facebook.com/peachmode1,https://twitter.com/peachmode1,,2026-01-10 12:02:56,2026-01-10 12:02:56
0bbca87f-9165-4c03-ae30-ff0218ffe9ce,f610d893-650e-46e2-89a6-c50f59036275,,,,,2026-01-10 12:02:56,2026-01-10 12:02:56
edbc77a7-94aa-4476-b2c6-ccd413756dc6,1dac1aa2-22c2-41e9-a608-2ffb1cefdf84,,,,,2026-01-10 12:02:56,2026-01-10 12:02:56
54eca7a8-0aee-4f10-9771-bc006f904854,1ee2cd39-dcf0-4e78-971d-967b8f1e2f12,https://instagram.com/_banana_club,https://facebook.com/BananaClub,,https://linkedin.com/company/banana-club-in-vogue,2026-01-10 12:02:56,2026-01-10 12:02:56
cb45de5d-d9b9-4d79-9e85-3172c65197a2,1c97dc61-7708-4958-8222-3fe8fa9275bc,,,,,2026-01-10 12:02:56,2026-01-10 12:02:56
